Sample;40.control;41.control;70.control;42.stage1;81.stage1;85.stage1;82.stage2;77.stage2;30.stage2;78.stage3;80.stage3;25.stage3;39.stage4;24.stage4;76.stage4
ko:K01000;0.864941731;0.849467481;0.718023449;0.875947438;0.883802651;0.856357715;0.807540994;0.882855274;0.862320047;0.966014842;0.844224114;0.766276572;0.97831842;0.951547935;0.911765727
ko:K01006;1.028.013.324;0.999079702;0.913807301;0.938612906;0.993490288;0.950167478;1.214.900.067;1.091.043.272;1.289.874.995;0.82100408;1.102.196.215;0.882432033;111.639.147;0.961097101;0.998020657
ko:K01007;0.756716753;0.887540264;0.811234608;0.853428002;0.853621296;0.850724985;0.808748145;0.793806143;0.786027938;0.942742212;0.733067569;0.76124056;0.730495005;0.704431416;0.814195151
ko:K01012;0.72341572;0.759409806;0.777948704;0.781025546;0.680916634;0.772770245;0.721265918;0.863502698;0.756822186;0.796354892;0.654907384;0.734585331;0.682036433;0.738148638;0.752713371
ko:K01056;0.808537094;0.81296946;0.645194725;0.762233815;0.817197598;0.770012405;0.711093046;0.908338321;0.697089724;0.773825955;0.73959965;0.733361185;0.566393784;0.774074776;0.678656595
ko:K01071;0.690945084;0.707276291;0.731586001;0.747696349;0.652716329;0.77571724;0.690125217;0.798835904;0.672983501;0.683947642;0.629747212;0.753280817;0.62961188;0.716992455;0.720747213
ko:K01091;0.75993625;0.736011793;0.708460121;0.727002607;0.767756409;0.739577599;0.704459853;0.852504297;0.705557552;0.731118252;0.735730638;0.745516991;0.801221515;0.712440554;0.746619494
ko:K01104;0.827936766;0.753432137;0.708168772;0.823132401;0.822292354;0.748050856;0.758601611;0.863393513;0.720489265;0.749432755;0.807925024;0.710632477;0.729122755;0.651498174;0.705035615
ko:K01126;0.856788926;0.748745324;0.726405052;0.736055146;0.818326973;0.748032346;0.686019915;0.86108035;0.702563479;0.775673446;0.763257872;0.792480316;0.714904979;0.764071762;0.729969653
ko:K01129;0.784796479;0.821260845;0.681407401;0.811037499;0.83059531;0.789474663;0.821670062;0.786059423;0.805799248;0.662267231;0.668534347;0.753498469;0.733688325;0.700455199;0.716971377
ko:K01142;0.814437211;0.780342457;0.616635824;0.755828022;0.829824055;0.743238289;0.780280413;0.806890227;0.847112425;0.742553445;0.660630337;0.709467466;0.602854897;0.745188539;0.71338079
ko:K01151;0.781565184;0.776453124;0.703954394;0.743235774;0.772245055;0.755922199;0.632889997;0.892282683;0.784307005;0.805127825;0.670819389;0.722780756;0.710944224;0.717546467;0.701885145
ko:K01153;0.74136134;0.725874006;0.81456447;0.691240374;0.71118922;0.666773495;0.899832922;0.819516599;0.777685377;0.735894705;0.709339494;0.728616794;0.704192264;0.654715165;0.702116029
ko:K01154;0.802044217;0.98021459;0.856110721;1.018.948.429;0.865600797;103.692.043;0.709681464;0.840547722;0.733087459;0.977161836;0.816777108;0.968329572;0.735390095;0.697927425;0.712087664
ko:K01155;0.741645081;1.018.290.088;0.874422651;116.844.908;0.925595567;0.954267997;0.511885041;0.730099771;0.499399331;1.037.153.934;0.818922684;0.815086867;0.595453934;0.586017326;0.582800083
ko:K01163;0.770241986;0.723786174;0.694054205;0.704852407;0.758196552;0.717282137;0.642639406;0.903875432;0.69049308;0.756200468;0.665593289;0.669261601;0.683437485;0.666578596;0.657633438
ko:K01176;1.013.453.961;0.797247179;0.770342367;0.829626499;0.747674546;0.872574376;0.736083717;0.740169058;0.7864378;0.790279039;0.673261977;0.753111747;0.746820999;0.71302648;0.810610774
ko:K01179;0.773310786;0.802102998;0.748329081;0.787830223;0.697486595;0.771061992;0.722367711;0.645270059;0.739591146;0.747621302;0.740850426;0.712329936;0.836183164;0.864697202;0.819526126
ko:K01182;0.793619313;0.763745933;0.759866117;0.862641345;0.666758609;0.836116592;0.705456357;0.648247877;0.712318506;0.846123882;0.673158273;0.863992673;0.621862442;0.676360186;0.692355336
ko:K01186;0.830887391;0.788789836;0.76660819;0.687025934;0.958363564;0.70374836;0.834361978;1.126.954.651;0.919403849;0.84453976;0.790127534;0.739410547;0.777249215;0.747118767;0.824019327
ko:K01187;0.780672517;0.700282518;0.732229795;0.791147683;0.707711711;0.764127118;0.705485658;0.82904849;0.689336835;0.809385233;0.696292283;0.741916755;0.703207842;0.667820158;0.679425312
ko:K01190;0.826613109;0.739672224;0.72412136;0.81463929;0.742496287;0.819630649;0.714237036;0.790300218;0.759030711;0.742161725;0.728331133;0.788163424;0.690285673;0.690903888;0.697483786
ko:K01191;0.854165571;0.766238577;0.68384405;0.845689016;0.700790799;0.837350905;0.646615676;0.948867268;0.629950117;0.655705181;0.742536433;0.800212598;0.669184821;0.695490946;0.683053715
ko:K01192;0.821060247;0.80748145;0.705161824;0.691517415;0.692218603;0.743625105;0.588317886;0.61213176;0.667994849;0.697945468;0.657374282;0.86387601;0.597087461;0.607546532;0.616887473
ko:K01193;0.750136671;0.878695599;0.63295889;0.758588259;0.787456602;0.75273471;0.694980271;0.811971287;0.695602772;0.703955147;0.714429632;0.705542564;0.795185129;0.67677998;0.700811114
ko:K01198;0.776338601;0.702518677;0.692415353;0.678811734;0.687451553;0.720532286;0.715006405;0.679238606;0.692384854;0.662941556;0.67277597;0.66438467;0.776218496;0.779843276;0.760414211
ko:K01201;0.853102707;0.956712433;0.832965094;0.786795778;0.701300897;0.7526785;0.612923224;0.584371177;0.61669596;0.825994831;1.047.626.901;0.847471879;0.758629817;1.234.020.759;0.937442984
ko:K01206;0.940048192;0.691156438;0.689803978;0.832783464;0.669862974;0.81911464;0.658993406;0.758759771;0.776071982;0.661443067;0.687564113;0.774099541;0.672269199;0.652904821;0.667038557
ko:K01207;0.753751862;0.805274594;0.74224321;0.71396902;0.846046994;0.707223587;0.747519948;0.923420778;0.737673678;0.658562988;0.690370274;0.82049275;0.586725734;0.727553852;0.757320183
ko:K01208;0.716235931;0.726675236;0.7314032;0.74934767;0.684606913;0.732205327;0.704873471;0.767433811;0.689342807;0.635516525;0.642999144;0.693768781;0.688355694;0.703820311;0.75434145
ko:K01209;0.760532204;0.802233587;0.697421494;0.758196879;0.72250242;0.731021896;0.627805225;0.712446577;0.68595833;0.627010364;0.561953583;0.681704042;0.698334349;0.681494214;0.686595488
ko:K01243;0.773055454;0.88026893;0.764390335;0.792864326;0.815964109;0.806186801;0.77059061;0.922278736;0.766354319;0.71408101;0.704392363;0.726301822;0.722530847;0.690351921;0.756035581
ko:K01258;0.828072444;0.822629322;0.767528188;0.79257965;0.751829919;0.785530568;0.84769069;0.859355579;0.763478901;0.665813856;0.76882187;0.751971982;0.756860662;0.757616168;0.798184659
ko:K01262;0.802485074;0.782164373;0.756477385;0.815634027;0.792845528;0.797474221;0.791226256;0.788228828;0.803315574;0.707031501;0.748026449;0.74536071;0.728078089;0.698011051;0.74960822
ko:K01265;0.751341346;0.76836671;0.660596726;0.754442098;0.778258957;0.751364716;0.759360286;0.804742175;0.757984884;0.707229451;0.715572452;0.731391009;0.764896849;0.680416032;0.750146482
ko:K01267;0.80983508;0.788224026;0.826506029;0.80760506;0.766461117;0.80090286;0.72377828;0.861041479;0.72620713;0.82395912;0.810904329;0.734913125;0.763340229;0.680879206;0.704309431
ko:K01270;0.776940477;0.799909755;0.76999191;0.840483413;0.832959421;0.846395262;0.80684283;0.927556056;0.797329617;0.783440406;0.671319028;0.727217659;0.752477374;0.834060279;0.832670325
ko:K01273;0.772312247;0.782325594;0.676791448;0.741742123;0.751267464;0.712585874;0.809134291;0.903695856;0.662786687;0.764872129;0.796086696;0.651117985;0.615185053;0.725455616;0.740792726
ko:K01286;0.783997069;0.809901084;0.688415673;0.776478792;0.766446435;0.761865733;0.79177417;0.783186379;0.804346604;0.684365972;0.760611938;0.691961904;0.851724289;0.783591998;0.787719459
ko:K01299;0.750726052;0.794025612;0.615090084;0.78108221;0.951775275;0.723933762;0.690108404;0.898340929;0.684770015;1.007.938.479;0.591553612;0.668977202;0.689700839;0.672097826;0.643157727
ko:K01338;0.765862684;0.796207567;0.740973378;0.776670433;0.730157605;0.755053668;0.766383996;0.830466642;0.799973791;0.749541923;0.797914039;0.756147277;0.656221683;0.678795432;0.70497429
ko:K01356;0.795253038;0.824689048;0.673308034;0.720244961;0.691599067;0.722715294;0.834314787;0.862826104;0.75761525;0.760620622;0.81725022;0.687190243;1.118.675.414;0.960577259;0.858396132
ko:K01358;0.743934567;0.79552352;0.751844563;0.753220686;0.783633099;0.741989536;0.788409626;0.844879998;0.676510345;0.899740365;0.80627434;0.718705363;0.698486232;0.722372636;0.716219697
ko:K01409;0.819490067;0.78000412;0.673384065;0.805418684;0.828864286;0.767318841;0.799121942;0.952793027;0.799123411;0.903973747;0.750822187;0.831379472;0.714176335;0.636954872;0.640016023
ko:K01421;0.710873176;0.861251089;0.719000666;0.732840125;0.75747312;0.726369994;0.786890733;0.870768343;0.779583245;0.762938063;0.779117205;0.78374825;0.764290709;0.71433939;0.710836278
ko:K01424;0.808143659;0.755752695;0.738572662;0.708634714;0.750738772;0.713532249;0.803929444;0.906180743;0.810648346;0.671766595;0.779283763;0.75829844;0.861559148;0.725271817;0.699569775
ko:K01436;0.754675885;0.83513372;0.874922024;0.877578652;0.92109405;0.904879353;0.737405173;0.959827501;0.722044587;0.597218754;0.799814157;0.894562187;0.692281802;0.664369075;0.629733649
ko:K01438;0.685916598;0.701266973;0.680110063;0.739725609;0.592715434;0.74118193;0.718957497;0.612898958;0.683592452;0.570727924;0.579678667;0.73708572;0.690528636;0.617790674;0.599994896
ko:K01442;0.894005468;0.796011658;0.672685814;0.805354046;0.828137152;0.79767496;0.919036873;1.034.721.839;0.896118318;0.639964578;0.700925623;0.74235752;0.694696065;0.849471574;0.807553924
ko:K01443;0.756093658;0.791770876;0.653720378;0.712389199;0.680736421;0.729765282;0.785922486;1.024.525.258;0.820141163;0.69475273;0.648205274;0.738076184;0.619407911;0.621149977;0.713536155
ko:K01447;0.841036705;0.838827946;0.774817662;0.787434731;0.75541619;0.787849768;0.780523307;0.894733807;0.821189518;0.711626527;0.818140134;0.74042491;0.846192398;0.763668904;0.797939625
ko:K01448;0.76525429;0.800040001;0.782815893;0.821548089;0.753045434;0.832602619;0.82455468;0.797230014;0.820917761;0.762054959;0.724204829;0.732077499;0.75498636;0.733406421;0.7541533
ko:K01449;0.759985244;0.79131603;0.593456468;0.711984779;0.890393728;0.770241403;0.766817326;0.752902301;0.746480976;0.798108512;0.746666035;0.64447927;0.60722846;0.757537532;0.732159758
ko:K01462;0.874212736;0.924167325;0.749285639;0.741567322;0.827841362;0.786825448;0.824575973;0.704321502;0.784131407;0.697099381;0.877219766;0.785643619;0.933919049;0.796019334;0.828249689
ko:K01464;0.779054428;0.836175923;0.82557536;0.789167102;0.824424896;0.8256382;0.627959508;0.816678261;0.63069353;0.837145681;0.624009748;0.739431014;0.682973096;0.735523857;0.758978923
ko:K01465;0.74470903;0.768141143;0.695767475;0.756967645;0.743628334;0.741698347;0.691025123;0.755445611;0.673897656;0.689681698;0.760298049;0.747655521;0.670682501;0.705042267;0.714365705
ko:K01468;0.791480256;0.672409394;0.958059347;0.658205824;0.933454603;0.685485726;0.957626964;0.739536926;0.938247809;0.631035369;0.624065315;0.706713534;0.613566134;0.784506218;0.791144434
ko:K01486;0.815845635;0.863811953;0.694267773;0.790257856;0.923527909;0.791339189;0.66011428;0.972292202;0.726911953;0.736510345;0.710123045;0.765092944;0.746786987;0.764909234;0.766305955
ko:K01489;0.758807314;0.793698655;0.61357937;0.807149362;0.668109665;0.879918233;0.667291424;0.739648301;0.726465212;0.70979979;0.718811299;0.686551304;0.569435582;0.676627961;0.676747269
ko:K01491;0.845035115;0.902054642;0.791848561;0.815128085;0.868581376;0.796505866;0.824806714;0.717253764;0.789033229;0.71942143;0.754028746;0.81740496;0.753114826;0.750390543;0.737839274
ko:K01515;0.809254743;0.806305258;0.714827451;0.804880617;0.816471654;0.772305304;0.749119417;0.891798006;0.701134216;0.875376222;0.818083216;0.750752508;0.711962019;0.728441529;0.761824692
ko:K01524;0.724361357;0.779597155;0.718748163;0.767334499;0.741122522;0.714674888;0.71859372;0.737382564;0.772410338;0.583509323;0.855451813;0.691725196;0.712193794;0.756645493;0.752244207
ko:K01533;0.779771973;0.755384198;0.834615208;0.768638105;0.828265417;0.771371734;0.73494651;0.891400276;0.697512486;0.678547064;0.772404006;0.668511868;0.7379581;0.695894732;0.698950463
ko:K01534;0.813584696;0.778782389;0.71667432;0.808073658;0.886286374;0.818221484;0.894666079;0.936077774;0.85722355;0.733539797;0.798558802;0.760193399;0.75482859;0.779351558;0.804806402
ko:K01537;0.905850263;0.783928856;0.844364024;0.883202931;0.823695049;0.867995365;0.879190001;0.905745808;0.889775;0.748220582;0.751983611;0.831701183;0.983819686;0.819433994;0.850738272
ko:K01546;0.642662877;0.641418343;0.694946325;0.697490251;0.682575664;0.654241858;0.693873133;0.906023309;0.648128604;0.611336353;0.608762677;0.715036861;0.688347983;0.779427526;0.761462639
ko:K01560;0.829316501;0.755945715;0.63254243;0.69120146;0.807384334;0.707829482;0.72739287;1.041.424.099;0.738219764;0.918827671;0.820876827;0.674824475;0.761479634;0.95775572;0.866977264
ko:K01567;0.778740923;0.719531789;0.663424622;0.777511358;0.739599091;0.743859085;0.848343874;0.840737776;0.773369448;0.737637014;0.685852982;0.64635406;0.755986661;0.709530141;0.658080568
ko:K01571;0.852009799;0.828370699;0.757836647;0.792159375;0.931829486;0.782912321;0.878461656;0.822523091;1.049.430.794;0.866177385;0.986772179;0.756228038;0.7952384;0.786754047;0.807949096
ko:K01585;0.758543919;0.839295;0.71521686;0.773029588;0.734087107;0.779621815;0.820825371;0.686062782;0.818344154;0.687052496;0.773315006;0.764923092;0.682305527;0.700171353;0.711993825
ko:K01586;0.795319995;0.771165577;0.669231202;0.739473117;0.795700329;0.755797188;0.784220439;0.84593066;0.7801078;0.773885088;0.782031455;0.826824419;0.882827472;0.850522138;0.846242367
ko:K01591;0.822369756;0.786214733;0.726996883;0.786531273;0.864779269;0.83002729;0.817904666;0.957473444;0.763718592;0.903441852;0.892715077;0.704089474;0.718852343;0.749148467;0.755240226
ko:K01598;0.721151004;0.714733961;0.718334834;0.798829527;0.714789254;0.727528188;0.772818972;0.85078205;0.776380086;0.809999832;0.610145885;0.830574875;0.806446135;0.754276744;0.735489723
ko:K01599;0.782614573;0.771328022;0.667784906;0.698488852;0.688119805;0.688217247;0.675052187;0.774574101;0.635801702;0.775247932;0.751126663;0.866379667;0.671538518;0.668016095;0.775632193
ko:K01613;0.688160452;0.74772839;0.793992796;0.756213668;0.718521942;0.739728594;0.711830922;0.765577354;0.695759543;0.711888356;0.669455569;0.686113926;0.743273597;0.658133776;0.646961431
ko:K01619;0.839441266;0.829461085;0.643485492;0.814678507;0.795839234;0.826183226;0.771431556;0.821098764;0.781251209;0.639815549;0.631925319;0.813267705;0.612362083;0.697115907;0.674892483
ko:K01620;0.772034345;0.802415557;0.763929131;0.754136491;0.826581539;0.751859814;0.799925645;0.758649414;0.736741905;0.831609332;0.704008757;0.775690535;0.63705699;0.732328274;0.750826422
ko:K01624;0.90181176;1.012.476.609;0.723451194;0.956646455;0.966943463;0.966281987;0.752401994;101.352.586;0.697538296;0.702332778;0.857109766;0.813942794;0.945779509;0.860835379;0.901875109
ko:K01625;0.754592029;0.686001943;0.696174152;0.754761525;0.733611255;0.740766312;0.899877158;1.009.807.497;0.905190905;0.835558821;0.86674682;0.79210395;0.984962401;1.023.064.402;0.995403389
ko:K01626;0.741881931;0.746039884;0.700461824;0.6588764;0.667299678;0.765008375;0.768144473;0.763875606;0.741448458;0.72490442;0.642305801;0.690764718;0.573507935;0.765957736;0.706182148
ko:K01647;0.849958992;0.815617292;0.743682189;0.79622841;0.760212647;0.771210044;0.71887621;0.745993298;0.740577964;0.759446603;0.752621714;0.694316365;0.744049203;0.751240188;0.800880815
ko:K01649;0.746912549;0.814732983;0.742631864;0.72204876;0.765037408;0.72466439;0.749657203;0.765406403;0.741875389;0.700986781;0.719164021;0.720145442;0.800609176;0.801307542;0.810257571
ko:K01652;0.776080959;0.798849954;0.704955697;0.841048569;0.764426493;0.817354213;0.710629099;0.759269055;0.703316932;0.707777177;0.683899684;0.804951474;0.871470548;0.745454363;0.797261466
ko:K01657;0.687912969;0.736283025;0.715307389;0.775389772;0.705811808;0.764182507;0.668488898;0.777595797;0.638032666;0.797013174;0.667966138;0.75212375;0.855017518;0.797636736;0.752033995
ko:K01658;0.693008996;0.71552319;0.814493319;0.742451848;0.638345445;0.778155253;0.706815194;0.692209447;0.693949604;0.77218218;0.668703532;0.729063714;0.739130909;0.716618473;0.699712371
ko:K01662;0.766262927;0.713720459;0.815816699;0.779588502;0.822626562;0.768682226;0.755246881;0.800868682;0.760605455;0.682282727;0.692028967;0.716205829;0.758353088;0.7366277;0.722153445
ko:K01678;0.778988991;0.825861801;0.773247778;0.821833307;0.781234002;0.787787275;0.787102351;0.90121936;0.706196733;0.750191375;0.702676191;1.063.439.269;0.958552744;0.718621945;0.754466201
ko:K01681;0.90382105;0.853879566;0.820765933;0.781154215;0.920473222;0.793908215;0.742701019;0.97693003;0.697360522;0.805378344;0.760717132;0.796789218;0.828073078;0.816502184;0.846417339
ko:K01687;0.81568738;0.850882978;0.718186056;0.835026331;0.985856511;0.827735844;0.879881964;1.103.278.904;0.877497567;0.649613479;0.953656858;0.9820136;1.025.320.303;0.876102087;0.783798869
ko:K01689;0.91757672;0.875885828;0.687849723;0.908691473;0.891114246;0.887246914;0.782259672;0.811902807;0.767271873;0.766749171;0.700917465;0.851268088;126.240.957;0.767026097;0.750798045
ko:K01695;0.727637378;0.791181002;0.811617719;0.876317666;0.693868914;0.813154802;0.681163633;0.677398549;0.685562455;0.648344161;0.674448196;0.738983484;0.519605102;0.713655767;0.678710726
ko:K01703;0.807660368;0.80666714;0.758944826;0.783525873;0.734674563;0.825297614;0.645057652;0.754719432;0.675185145;0.582248565;0.752102613;0.713746047;0.676381915;0.817084494;0.767965264
ko:K01714;0.740486374;0.803893443;0.76770016;0.855337186;0.803683028;0.84230274;0.73364777;0.799927888;0.750148413;0.751245835;0.750454237;0.78959631;0.764598793;0.71986859;0.788629304
ko:K01733;0.762260938;0.849040761;0.654943159;0.805580103;0.847550913;0.818582992;0.744837201;0.87710697;0.765246593;0.715223846;0.731791864;0.787215163;0.702857629;0.746943361;0.798403793
ko:K01735;0.739795247;0.769118332;0.715271072;0.743366292;0.804506773;0.744940963;0.698732465;0.783453513;0.688284151;0.755033869;0.676946012;0.766292686;0.664257992;0.744922326;0.773451334
ko:K01736;0.775138615;0.787158057;0.767167529;0.765045004;0.815686503;0.757247256;0.736407382;0.945422367;0.711660152;0.814249234;0.70099084;0.77343044;0.765354942;0.701219364;0.741383281
ko:K01738;0.796959135;0.833535524;0.806533627;0.86413808;0.800606937;0.865312719;0.780319002;0.95784849;0.849881237;0.654891385;0.736654109;0.859935368;0.724723939;0.811714922;0.83834824
ko:K01740;0.818925807;0.876775535;0.774815113;0.869781397;0.802116072;0.824603575;0.689603031;0.904797063;0.747070645;0.781255447;0.835866289;0.815311907;0.781688572;0.839824112;0.9238405
ko:K01752;0.798387849;0.761125765;0.811602163;0.765036511;0.839409991;0.763930805;0.733390762;1.043.277.179;0.70206815;0.757744642;0.843558507;0.754900527;0.875009759;0.804558902;0.804292284
ko:K01754;0.791786626;0.875035815;0.719812557;0.734718394;0.906975582;0.786219541;0.925244531;0.97316836;0.932806265;0.731592729;0.947187745;0.641531606;0.85207371;0.665959603;0.796733184
ko:K01756;0.841286243;0.790336436;0.747396192;0.759143803;0.918972527;0.75479934;0.981919409;1.258.255.045;0.998057144;1.062.143.021;0.880602971;0.864869411;0.708029739;0.925128677;0.86173895
ko:K01770;0.812375118;0.775982008;0.782896708;0.731388797;0.811810397;0.742636848;0.718523556;0.841595853;0.730913944;0.807442157;0.744644267;0.75936399;0.916587033;0.783785492;0.795317039
ko:K01775;0.801302117;0.812375033;0.713573347;0.769447811;0.784905439;0.755107093;0.70396007;0.782929356;0.743578462;0.688115623;0.765788321;0.729147988;0.77117725;0.805537032;0.801923645
ko:K01776;0.805958973;0.847294568;0.737131825;0.771012675;0.803593074;0.769879371;0.763617006;0.848557865;0.741037914;0.806722024;0.818969893;0.751833788;0.758192376;0.712452244;0.740605091
ko:K01778;0.740172135;0.70414316;0.680021585;0.729656908;0.755665349;0.745764474;0.743663526;0.757889791;0.731271161;0.704917167;0.760485141;0.753874658;0.761232173;0.826199526;0.82262759
ko:K01783;0.798468629;0.839912098;0.722331764;0.814872386;0.800400851;0.821170928;0.68584649;0.778220342;0.734973833;1.041.106.944;0.772880543;0.7663443;0.806734306;0.711005447;0.708158452
ko:K01784;0.904700931;0.842402188;0.766440048;0.855978049;0.901655634;0.8458904;0.760373858;0.872071952;0.80791852;1.119.069.946;0.93492699;0.782521708;0.846479007;0.805161549;0.791098033
ko:K01785;0.815203023;0.810728286;0.702529602;0.815274672;0.807052294;0.823422876;0.71966488;0.718071996;0.75627764;0.706575629;0.77314632;0.781139155;0.710211468;0.746575713;0.743970315
ko:K01791;0.889024273;0.803973416;0.80885021;0.872519073;0.867949476;0.826211209;0.810951271;0.877586186;0.776515976;0.959167106;0.878020967;0.820504808;0.717169311;0.708986301;0.732188887
ko:K01802;0.78613549;0.781487149;0.750687631;0.837901793;0.745958556;0.85246939;0.688891837;0.637696821;0.681667376;0.828051087;0.81102898;0.862701714;0.70624451;0.709790972;0.721912658
ko:K01803;0.927951322;0.88683109;0.854755227;0.949500853;1.000.473.395;0.931275189;0.953008987;1.054.717.161;0.958208627;0.872877365;0.870327634;0.834936915;0.84106447;0.821069982;0.869865759
ko:K01808;0.809973132;0.861050067;0.745254765;0.672495501;1.351.907.617;0.688371389;0.611969998;0.842831778;0.631197103;0.688466164;1.122.794.954;0.826731283;0.660929872;0.670713537;0.685303233
ko:K01809;0.812434326;0.784211025;0.601363361;0.737562639;0.784992025;0.730074995;0.836517324;0.922509404;0.81630098;0.837188982;1.233.193.611;0.788883711;0.647340548;0.727214124;0.757794639
ko:K01810;0.925773999;0.837662837;0.777225461;0.832746482;0.888391914;0.831739441;0.93855459;1.121.134.272;0.860593625;0.976848633;10.797.215;0.812153628;0.973078275;0.820764981;0.95577354
ko:K01811;0.770280778;0.791780177;0.745400515;0.688056575;0.694484548;0.722529456;0.693367352;0.787190499;0.724606828;0.913925893;0.695625083;0.696173221;0.71395765;0.811357706;0.778343711
ko:K01812;0.780177412;0.764857722;0.682706919;0.696756825;0.853139608;0.730900512;0.902479869;0.964962258;0.899322444;0.666756409;0.802447205;0.790822392;0.663709278;0.819988208;0.829389408
ko:K01814;0.721329332;0.817603816;0.637430599;0.876733128;0.773111887;0.862025449;0.655248145;0.684867363;0.688096046;0.906048994;0.655179606;0.832027001;0.745753421;0.814711624;0.747595678
ko:K01817;0.728445585;0.857689593;0.665656741;0.786325565;0.740373203;0.812497863;0.713268477;0.723656732;0.663766858;0.906749658;0.723447583;0.76199342;0.696880716;0.725068587;0.751678923
ko:K01835;0.785534262;0.828325962;0.753842628;0.806003615;0.952362887;0.793539261;0.873697749;0.987174542;0.787064828;0.779014509;0.855279723;0.809031102;0.818551186;0.763090595;0.805787751
ko:K01839;0.772955909;0.710673735;0.685994603;0.748001002;0.770796686;0.743422562;0.770145004;0.795785913;0.811301905;0.729381582;0.690538585;0.709158206;0.775519339;0.761743577;0.751808784
ko:K01840;0.811128874;0.835689447;0.786648061;0.845682984;0.958239358;0.812664572;0.85148083;0.986338043;0.777602853;0.779014509;0.767617031;0.851311426;0.922307538;0.799401755;0.847268884
ko:K01854;0.763185786;0.768511305;0.716319738;0.877685454;0.795975159;0.885247359;0.684685339;0.690660396;0.672786934;0.704389371;0.742793108;0.700013088;0.646310715;0.725167511;0.725224007
ko:K01866;0.790810081;0.857920853;0.794621795;0.94034247;1.015.446.554;0.918323054;0.984065297;0.961150494;0.950358237;0.828923966;0.746993229;0.792388256;0.834998777;0.895802485;0.818579291
ko:K01867;0.91487525;0.851628272;0.748160442;0.829601623;0.961270454;0.838663628;0.82663666;1.096.841.024;0.825247642;0.841305665;1.027.111.556;0.793397279;0.680879446;0.841281778;0.794237711
ko:K01868;0.955083982;0.889165943;0.724452902;0.873299041;0.936924368;0.882805872;0.988154008;0.861373321;0.999688537;0.843965518;0.975795136;0.832708836;1.072.535.484;0.979020287;0.939016453
ko:K01869;0.889374438;0.869010644;0.826284377;0.907050499;0.932918831;0.881660858;0.879314388;1.025.658.724;0.827078037;0.806216743;0.886381837;0.820926905;0.814580461;0.880077328;0.838789212
ko:K01870;0.894441831;0.943999604;0.821245121;0.916414667;1.037.042.271;0.921665086;0.820169853;1.011.585.856;0.812127538;0.811606387;0.974031274;0.821205995;0.972939323;0.944320917;0.895675564
ko:K01872;0.804429144;0.854747321;0.775231225;0.791946303;0.806858608;0.799970984;0.794559406;0.882514491;0.78190968;0.803158334;0.86133467;0.785010347;0.815340902;0.803885467;0.772661191
ko:K01873;0.823173283;0.867229535;0.7745763;0.787083291;0.846572962;0.7949285;0.861670439;0.91170294;0.848997151;0.829995308;110.051.724;0.828949454;0.727436166;0.745580551;0.810308176
ko:K01874;0.912021574;0.901898895;0.829217175;0.853181747;0.953795535;0.851611358;0.908153281;0.975881812;0.904350433;0.793375223;0.886136103;0.804447039;102.088.911;0.871365282;0.88658836
ko:K01875;0.815256071;0.881252611;0.752072044;0.891351651;0.920094005;0.903357162;0.830855646;0.866189743;0.821201958;0.863262916;0.951607828;0.795529587;1.057.507.523;0.884933993;0.990872419
ko:K01876;0.87574866;0.853081723;0.768911224;0.853102217;0.88560912;0.874818398;0.874437243;0.914524882;0.898130034;0.810342829;0.929021104;0.813686716;0.778308324;0.8400871;0.824756813
ko:K01880;0.987017687;0.896624282;0.876510704;0.934604307;1.107.547.795;0.937646692;1.102.155.934;1.314.759.344;1.062.400.351;0.933926665;1.085.055.007;0.90062815;1.048.713.384;1.120.042.109;1.014.279.439
ko:K01881;0.913165696;0.850964921;0.77173228;0.919415338;0.970282212;0.907630353;0.806388572;1.115.256.072;0.81606356;0.790496925;0.96652016;0.890539843;0.855767688;0.931458175;0.875233513
ko:K01883;0.898146246;0.844499329;0.798246014;0.842205537;0.881583305;0.828032636;0.899493223;1.015.038.571;0.898722259;0.785462064;0.915976783;0.782688375;0.681898913;0.866418271;0.844312765
ko:K01885;0.852888189;0.805519794;0.73137123;0.823831585;0.859344625;0.818451737;0.843798856;1.081.430.654;0.861036443;0.775132453;0.8405773;0.789958324;0.687374772;0.745413195;0.756241476
ko:K01886;0.754667897;0.840588545;0.742722134;0.774723843;0.889511525;0.757077029;0.917837442;1.134.619.408;0.908343233;0.717715542;1.163.662.542;0.748353192;0.926813382;0.911903467;0.947605055
ko:K01887;0.842772421;0.903170862;0.744269282;0.881072968;0.847219284;0.873295188;0.750908149;0.893497961;0.766600561;0.73027858;0.811404059;0.812978008;0.851613812;0.778894291;0.794046634
ko:K01889;0.870066256;0.870522615;0.834201603;0.873080147;1.042.827.117;0.899232094;0.837340723;0.959198005;0.781615143;0.821307508;0.900883034;0.793867448;0.7380498;0.866453363;0.911258489
ko:K01890;0.924942048;0.870757567;0.786716142;0.908938667;0.857678516;0.914866691;0.843932355;0.982127572;0.837457482;0.801868385;0.846666841;0.769021282;0.77023497;0.815878549;0.797229855
ko:K01892;0.84302162;0.83190147;0.841912129;0.886072664;0.951764008;0.896965405;0.863937227;0.855641309;0.835057292;0.920128131;0.80410633;0.749892755;0.808410556;0.821147581;0.811303205
ko:K01897;0.851086736;0.79177631;0.668342419;0.876232524;0.848595566;0.901762218;0.712577653;0.846581074;0.679866125;0.719872413;0.799559413;0.69345547;0.723740133;0.782517702;0.763593974
